Name,Cost,Description,,
Choice Specs,3000,"The default state of the holder's Special Attack Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",,
Choice Scarf,3000,"The default state of the holder's Speed Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",,
Choice Item (Def),3000,"The default state of the holder's Defense Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",,
Choice Item (SDef),3000,"The default state of the holder's Special Defense Stat is +2 Combat Stages. However, the holder is Suppressed and cannot be cured until the end of Combat, even if the item is removed. Cannot be used by Trainers.",,
Contest Accessory,1500,The user rolls +2d6 during the Introduction Stage of a Contest. Cannot be used by Trainers.,,
Contest Fashion,1000,"These Items have a chosen Contest Stat; Beauty, Cool, Cute, Smart, or Tough. When held, once per Contest, the holder may re-roll any 1s made when using a Move of the chosen Type. Cannot be used by Trainers.",,
Beauty Fashion,1000,Once per Contest the holder may re-roll any 1's made when using a Beauty Move. Cannot be used by Trainers.,,
Cute Fashion,1000,Once per Contest the holder may re-roll any 1's made when using a Cute Move. Cannot be used by Trainers.,,
Cool Fashion,1000,Once per Contest the holder may re-roll any 1's made when using a Cool Move. Cannot be used by Trainers.,,
Smart Fashion,1000,Once per Contest the holder may re-roll any 1's made when using a Smart Move. Cannot be used by Trainers.,,
Tough Fashion,1000,Once per Contest the holder may re-roll any 1's made when using a Tough Move. Cannot be used by Trainers.,,
Everstone,1500,Evolution is prevented for the holder. Cannot be used by Trainers.,,
Eviolite,4000,"Only affects not-fully-evolved Pokémon of a single family, decided when the Eviolite is made. Grants a +5 Bonus to two different Stats, after Combat Stages, decided when the Eviolite is made. Prevents Pokémon from evolving when held. Cannot be used by Trainers.",,
Expert Belt,3500,"Whenever the holder deals Super Effective Damage, they deal an additional 5 damage (this damage is not multiplied). Accessory Item for Trainers.",,
Flame Orb,3800,Induces burn on holder. Off-Hand Item for Trainers. Standard Action to drop.,,
Focus Band,4700,"Whenever the user faints, roll 1d20. Once a Scene on a result of 16+, the holder does not faint, and is left with 1 Hit Point. Accessory Item for Trainers.",,
Focus Sash,4700,"Once a Scene, if damage from a Move would take Focus Sash’s holder’s Hit Points from Max to 0 or less, Focus Sash’s holder instead has 1 Hit Point remaining. Accessory Item for Trainers.",,
Full Incense,900,The holder gains the Stall ability. Cannot be used by Trainers.,,
Go-Goggles,1500,The user does not take damage from Sandstorm. Head Item for Trainers.,,
Iron Ball,900,"The Holder’s Speed is halved, and any immunity to Ground Type is lost. Hand Item for Trainers. Standard Action to drop.",,
King's Rock,2500,"Attacks cause Flinch on a roll of 19+. This does not stack with any abilities, moves, or effects that extend flinch rate. Head Item for Trainers. Evolves Poliwhirl, Slowpoke.",,
Lagging Items,900,"The Lagging Items are tied to a specific Stat. When held, they set that Stat to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.",,
Lagging Tail,900,The holder's Speed Stat is set to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.,,
Lagging Item (Atk),900,The holder's Attack Stat is set to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.,,
Lagging Item (Def),900,The holder's Defense Stat is set to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.,,
Lagging Item (SAtk),900,The holder's Special Attack Stat is set to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.,,
Lagging Item (SDef),900,The holder's Special Defense Stat is set to -4 Combat Stages. Cannot be used by Trainers. Standard Action to drop.,,
Lax Incense,2000,+1 to all Stat Evasions. Cannot be used by Trainers.,,
Life Orb,3700,"Whenever the holder deals direct damage, increase the damage by +5, and then the holder loses Hit Points equal to 1/16th of their Max Hit Points. Off-Hand Item for Trainers.",,
Luck Incense,1800,Grants +1 Bonus to all Accuracy Rolls. A roll of 1 always misses. Cannot be used by Trainers.,,
Quick Claw,4200,The user adds +10 to their Initiative. Accessory Item for Trainers.,,
Razor Claw,3000,The holder’s damaging attacks have their Critical Hit Range extended by +1. Evolves Sneasel.,,
Razor Fang,3000,The holder’s damaging attacks cause an Injury on a roll of 19+. Accessory Item for Trainers. Evolves Gligar.,,
Safety Goggles,1500,The holder is immune to Moves with the Powder Keyword. Accessory or Head Item for Trainers.,,
Shell Bell,5200,"Whenever the user damages a foe, they gain a Tick of Temporary Hit Points. Accessory Item for Trainers.",,
Shock Collar,3500,"Comes with a remote activator, which when pressed, causes the Pokémon or Trainer wearing the shock collar to lose Hit Points equal to 1/6th of their Max Hit Points. This may be used to activate the “Press” Feature. Collars that work on Ground Type Pokémon are available for an additional $500.",,
Stat Boosters,4000,"These items have a chosen Stat, either Attack, Defense, Special Attack, Special Defense, Speed, Evasion, or Accuracy. These items cause the default Stage of their linked Stat to be +1 Combat Stage instead of 0, or simply +1 for Accuracy and Evasion. Accessory Item for Trainers.",,
Attack Booster,4000,The default state of the holder's Attack Stat is +1 Combat Stage. Accessory Item for Trainers.,,
Defense Booster,4000,The default state of the holder's Defense Stat is +1 Combat Stage. Accessory Item for Trainers.,,
S Attack Booster,4000,The default state of the holder's Special Attack Stat is +1 Combat Stage. Accessory Item for Trainers.,,
S Defense Booster,4000,The default state of the holder's Special Defense Stat is +1 Combat Stage. Accessory Item for Trainers.,,
Speed Booster,4000,The default state of the holder's Speed Stat is +1 Combat Stage. Accessory Item for Trainers.,,
Accuracy Booster,4000,Grants the holder +1 Accuracy. Accessory Item for Trainers.,,
Evasion Booster,4000,Grants the holder +1 Evasion. Accessory Item for Trainers.,,
Toxic Orb,4800,Induces Poison on holder. Off-Hand Item for Trainers. Standard Action to drop.,,
Type Boosters,1800,"These items come in a variety of each of the Elemental Types, and grants a +5 Damage Bonus to all direct damage Moves of its Specific Type when performed by the user. Accessory Item for Trainers.",,
Bug Booster,1800,Grants a +5 Damage Bonus to all direct-damage Bug Moves used by the holder. Accessory Item for Trainers.,,
Dark Booster,1800,Grants a +5 Damage Bonus to all direct-damage Dark Moves used by the holder. Accessory Item for Trainers.,,
Dragon Booster,1800,Grants a +5 Damage Bonus to all direct-damage Dragon Moves used by the holder. Accessory Item for Trainers.,,
Electric Booster,1800,Grants a +5 Damage Bonus to all direct-damage Electric Moves used by the holder. Accessory Item for Trainers.,,
Fairy Booster,1800,Grants a +5 Damage Bonus to all direct-damage Fairy Moves used by the holder. Accessory Item for Trainers.,,
Fighting Booster,1800,Grants a +5 Damage Bonus to all direct-damage Fighting Moves used by the holder. Accessory Item for Trainers.,,
Fire Booster,1800,Grants a +5 Damage Bonus to all direct-damage Fire Moves used by the holder. Accessory Item for Trainers.,,
Flying Booster,1800,Grants a +5 Damage Bonus to all direct-damage Flying Moves used by the holder. Accessory Item for Trainers.,,
Ghost Booster,1800,Grants a +5 Damage Bonus to all direct-damage Ghost Moves used by the holder. Accessory Item for Trainers.,,
Grass Booster,1800,Grants a +5 Damage Bonus to all direct-damage Grass Moves used by the holder. Accessory Item for Trainers.,,
Ground Booster,1800,Grants a +5 Damage Bonus to all direct-damage Ground Moves used by the holder. Accessory Item for Trainers.,,
Ice Booster,1800,Grants a +5 Damage Bonus to all direct-damage Ice Moves used by the holder. Accessory Item for Trainers.,,
Normal Booster,1800,Grants a +5 Damage Bonus to all direct-damage Normal Moves used by the holder. Accessory Item for Trainers.,,
Poison Booster,1800,Grants a +5 Damage Bonus to all direct-damage Poison Moves used by the holder. Accessory Item for Trainers.,,
Psychic Booster,1800,Grants a +5 Damage Bonus to all direct-damage Psychic Moves used by the holder. Accessory Item for Trainers.,,
Rock Booster,1800,Grants a +5 Damage Bonus to all direct-damage Rock Moves used by the holder. Accessory Item for Trainers.,,
Steel Booster,1800,Grants a +5 Damage Bonus to all direct-damage Steel Moves used by the holder. Accessory Item for Trainers.,,
Water Booster,1800,Grants a +5 Damage Bonus to all direct-damage Water Moves used by the holder. Accessory Item for Trainers.,,
Type Brace,2000,"These items come in a variety of each of the Elemental Types, and grant the holder 15 Damage Reduction against that specific Type. Accessory Item for Trainers.",,
Bug Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Bug Moves. Accessory Item for Trainers.,,
Dark Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Dark Moves. Accessory Item for Trainers.,,
Dragon Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Dragon Moves. Accessory Item for Trainers.,,
Electric Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Electric Moves. Accessory Item for Trainers.,,
Fairy Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Fairy Moves. Accessory Item for Trainers.,,
Fighting Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Fighting Moves. Accessory Item for Trainers.,,
Fire Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Fire Moves. Accessory Item for Trainers.,,
Flying Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Flying Moves. Accessory Item for Trainers.,,
Ghost Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Ghost Moves. Accessory Item for Trainers.,,
Grass Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Grass Moves. Accessory Item for Trainers.,,
Ground Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Ground Moves. Accessory Item for Trainers.,,
Ice Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Ice Moves. Accessory Item for Trainers.,,
Normal Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Normal Moves. Accessory Item for Trainers.,,
Poison Brace,2000,Grants the holder 15 Damage Reduction against all direct-damage Poison Moves. Accessory Item for Trainers.,,
Name,Cost,Description,,
Basic Ball,250,Basic Poké Ball; often called just a “Poké Ball”.,,
Great Ball,400,-15 to capture rate. A better Poké Ball with no special effects.,,
Ultra Ball,800,-50 to capture rate. The best generic Poké Ball.,,
Master Ball,--,"-100 to capture rate. C289Incredibly Rare. Worth at least $300,000. Sold nowhere.",,
Safari Ball,800,Used during Safari hunts.,,
Level Ball,800,-20 Modifier if the target is under half the level your active Pokémon is.,,
Lure Ball,800,-20 Modifier if the target was baited into the encounter with food.,,
Moon Ball,800,-20 Modifier if the target evolves with an Evolution Stone.,,
Friend Ball,800,A caught Pokémon will start with +1 Loyalty.,,
Love Ball,800,"-30 Modifier if the user has an active Pokémon that is of the same evolutionary line as the target, and the opposite gender. Does not work with genderless Pokémon.",,
Heavy Ball,800,-5 Modifier for each Weight Class the target is above 1.,,
Fast Ball,800,-20 Modifier if the target has a Movement Capability above 7.,,
Sport Ball,800,Used during Safari hunts.,,
Premier Ball,800,Given as promotional balls during sales.,,
Repeat Ball,800,-20 Modifier if you already own a Pokémon of the target’s species.,,
Timer Ball,800,"-5 to the Modifier after every round since the beginning of the encounter, until the Modifier is -20.",,
Nest Ball,800,-20 Modifier if the target is under level 10.,,
Net Ball,800,-20 Modifier if the target is Water or Bug type.,,
Dive Ball,800,-20 Modifier if the target was found underwater or underground.,,
Luxury Ball,800,A caught Pokémon is easily pleased and starts with a raised happiness.,,
Heal Ball,800,A caught Pokémon will heal to Max HP immediately upon capture.,,
Quick Ball,800,"+5 to Modifier after 1 round of the encounter, +10 to Modifier after round 2, +20 to modifier after round 3.",,
,,,,
Light Armor,8000,Grants 5 Damage Reduction.,,
Heavy Armor,12000,Heavy Armor grants +10 Damage Reduction. Heavy Armor causes the wearer’s Speed’s Default Combat Stage to be -1.,,
Fancy Clothes,5000,"Each set of Fancy Clothes is assigned a Contest Stat – either Beauty, Cool, Cute, Smart, or Tough. Trainers wearing these clothes may roll 2d6 during the Introduction Stage of a Contest to try to generate Contest Stat Dice for the assigned Stat.",,
Stealth Clothes,2000,"Whether it’s a dark cloak and hood, a ninja suit, or spy gear, these clothes help you blend in. This body-slot equipment raises your modifier to Stealth Checks made to remain unseen by +4, to a maximum total modifier of +4.",,
Dark Vision Goggles,1000,These Goggles simply grant the Darkvision Capability while worn.,,
Gas Mask,1500,"Gas Masks are invaluable equipment when trying to breathe in toxic environments or heavy smoke. They not only let you breathe through environmental toxins or smoke, but you become immune to the Moves Rage Powder, Poison Gas, Poisonpowder, Sleep Powder, Smog, Smokescreen, Spore, Stun Spore, and Sweet Scent.",,
Helmet,2250,The user gains 15 Damage Reduction against Critical Hits. The user resists the Moves Headbutt and Zen Headbutt and can’t be flinched by these Moves.,,
Re-Breather,4000,This small partial face mask allows Trainers and Pokémon to breathe underwater as if they had the Gilled Capability for up to an hour. The Re-Breather is refilled automatically in 5 minutes while in open air.,,
Sunglasses,2000,"+1 to Charm, Guile, and Intimidate Checks, to a maximum total modifier of +3.",,
Snow Boots,1500,"Snow Boots grant you the Naturewalk (Tundra) capability, but lower your Overland Speed by -1 while on ice or deep snow.",,
Running Shoes,2000,"Running Shoes grant a +2 bonus to Athletics Checks, to a maximum total modifier of +3, and increase your Overland Speed by +1.",,
Flippers,2000,"Flippers grant a +2 bonus to your Swim speed when fully submerged, and decrease your Overland speed by the same amount.",,
Jungle Boots,1500,Jungle Boots grant you the Naturewalk (Forest) capability,,
Fishing Rod,Varies,"Fishing Rods are used to Fish. They are two-handed items. They come in three varieties; Old Rods, Good Rods, and Super Rods.",,
Old Rod,1000,A basic fishing rod.,,
Good Rod,5000,A better fishing rod.,,
Super Rod,15000,The best fishing rod.,,
Glue Cannon,3000,"Glue Cannons are exactly what you expect; This two-handed Equipment piece is a hand-held cannon that launches globs of glue. Attacking with a Glue Cannon expends a charge, which must be purchased. The attack is an AC8 Status Attack. If it hits, the target is Slowed. On a critical hit, the target is instead Stuck and Trapped. The Glue Cannon and three charge packets cost $3000, and additional charge packets costs $100.",,
Glue Cannon Charge Packet,100,A charge packet for Glue Cannons.,,
Hand Net,Varies,"A long net, usually on the end of a long stick, these pieces of two-handed Equipment are usually used for bug catching or fishing. As an AC6 Status Attack, you may attempt to net a Small Pokémon using this item. If you hit, you manage to scoop up the Pokémon, trapping them. You may move with the Pokémon, dragging them with you. Pokémon may still attack from the Hand Net using long-range attacks, or try to attack the net itself, potentially breaking it and freeing themselves. Capture Rolls against Pokémon in a net receive a -20 bonus.

Hand Nets with 50 Hit Points cost $100; 100 Hit Points cost $600; and 200 Hit Points cost $1500. Nets aren’t broken until all of their Hit Points are depleted.",,
Weighted Nets,Varies,"Weighted Nets are foldable nets used for trapping Pokémon. These two-handed nets, when Equipped, can be thrown at a target as a Standard Action, as a Status Attack with an AC of 8. While a Pokémon is netted, you may pull on the rope attached to the Net to pull the Pokémon 1 Meter towards you as a Standard Action. Pokémon hit by a weighted net become Slowed as long as the net remains and cannot use Sky or Levitate Speeds except to safely lower themselves back to the ground. A Pokémon may attack the Net to attempt to break free. Capture Rolls against Pokémon in a net receive a -20 bonus.

Weighted Nets with 50 Hit Points cost $500; 80 Hit Points cost $850; and 150 Hit Points cost $1200.",,
Light Shield,3000,"A Shield is an Off-Hand defensive item held in one hand or braced to an arm. Light Shields grant +2 Evasion. They may be readied as a Standard Action to instead grant +4 Evasion and 10 Damage Reduction until the end of your next turn, but also cause you to become Slowed for that duration. If used Two-Handed, light shields can also function as a Small Melee Weapon.",,
Heavy Shield,4500,"A Shield is an Off-Hand defensive item held in one hand or braced to an arm. Heavy Shields grant +2 Evasion and may be readied as a Standard Action to grant +6 Evasion and 15 Damage Reduction until the end of your next turn, but also cause you to become Slowed for that duration. If used Two-Handed, shields can also function as a Small Melee Weapon.",,
Wonder Launcher,10000,"This strange and complicated two-handed machine can only be used by those that have an Expert-Level Medicine or Technology Education Skill. The wielder can spend 1 AP to activate it, and apply an X-Item at a Pokémon within 8 meters. X Items applied through the Wonder Launcher do not cause the target to forfeit any actions. Items combined by a Researcher may be used in the Wonder Launcher, and do not cause the target to forfeit any actions even if they are also a Restorative.",,
Focus,6000,"A Focus grants +5 Bonus to a Stat, chosen when crafted. This Bonus is applied AFTER Combat Stages. Focuses are often Accessory-Slot Items, but may be crafted as Head-Slot, Hand or Off-Hand Slot Items as well; a Trainer may only benefit from one Focus at a time, regardless of the Equipment Slot. Focuses are not usually found in stores, but may sometimes be found for $6000 at your GM’s discretion.",,
Snag Machine,30000,"Snag Machines are extremely illegal machines that allow trainers to steal another Trainer’s Pokémon. They come in both large, immovable varieties and smaller portable varieties. The Portable Variety is an Accessory-Slot Item. Inserting a Poké Ball into a Large Snag Machine turns it into a Snag Ball permanently, but Large Snag Machines may only turn 5 Poké Balls into Snag Balls per day. Inserting a Poké Ball into a Portable Snag Machine, which is a Swift Action, turns it into a Snag Ball after one round, but only for that round. Snag Balls have the same properties as the Poké Ball type they were before being inserted into the machine, but receive a -2 penalty on all Poké Ball attack rolls, and are capable of capturing owned Pokémon. Snag Machines cannot be bought in stores, but may sell on the black market for prices of $30,000 or more.",,
Mega Ring,--,"Mega Rings are extraordinarily rare accessories that allow a Trainer’s Pokémon to Mega Evolve when used in conjunction with a Mega Stone. They cannot be bought in stores anywhere and must usually be earned through a trial of sorts, governed by a Gym Leader or other influential Pokémon Trainer. They can take the form of a bracelet, a necklace, or an actual ring.",,
Caltrops,500,Lets the user use the move Spikes as a Standard Action.  The item is then consumed.,,
Toxic Caltrops,500,Lets the user use the move Toxic Spikes as a Standard Action.  The item is then consumed.,,
Dream Mist,500,"Dream Mist may be used as an AC 6 Melee Status Attack, performed as a Standard Action. If it hits, the target falls Asleep. Dream Mist is collected from Pokémon with the eponymous Capability using a Collection Jar.",,
Magic Flute,4000,"Magic Flutes are rare artifacts made only by skilled crafters with occult knowledge. They are not usually found in stores. When a Flute is crafted, it is tied to a particular Status Condition. Once per day, the Flute may be played as a Standard Action. All Pokémon and Trainers within 20 meters of the Flute are cured of that Status. These rare artifacts cannot be found in most ordinary stores but may cost upwards of $4000 from an appropriate occult vendor.",,
Pester Ball: Rage,350,"Inflicts Rage on the target. After being hit by any Pester Ball, a target becomes immune to the effects of further Pester Balls for 1 hour. Throwing and hitting with Pester Balls is the same as with Poké Balls.",,
Pester Ball: Confusion,350,"Inflicts Confusion on the target. After being hit by any Pester Ball, a target becomes immune to the effects of further Pester Balls for 1 hour. Throwing and hitting with Pester Balls is the same as with Poké Balls.",,
Pester Ball: Burn,350,"Inflicts Burn on the target. After being hit by any Pester Ball, a target becomes immune to the effects of further Pester Balls for 1 hour. Throwing and hitting with Pester Balls is the same as with Poké Balls.",,
Pester Ball: Poison,350,"Inflicts Poison on the target. After being hit by any Pester Ball, a target becomes immune to the effects of further Pester Balls for 1 hour. Throwing and hitting with Pester Balls is the same as with Poké Balls.",,
Pester Ball: Paralysis,350,"Inflicts Paralysis on the target. After being hit by any Pester Ball, a target becomes immune to the effects of further Pester Balls for 1 hour. Throwing and hitting with Pester Balls is the same as with Poké Balls.",,
Pester Ball: Sleep,350,"Causes the target to fall asleep. After being hit by any Pester Ball, a target becomes immune to the effects of further Pester Balls for 1 hour. Throwing and hitting with Pester Balls is the same as with Poké Balls.",,
Smoke Ball,500,"When used, a Smoke Ball creates a 3 meter blast that fills the area with smoke, as if the move Smokescreen had been used. Smoke Balls can only be found in specialty shops.",,
Cleanse Tag,500,"Small strips of paper with a prayer/incantation written on them. When created, the creator makes an Occult Ed Roll; this is the Cleanse Tag’s Power Value. When glued, taped, or nailed to a surface, they stop Pokémon or Trainers within 30m of the tag from Phasing through that surface unless they make a Focus check with a result exceeding the Tag’s Power Value. On a success, the tag is destroyed; on failure, the tag holds, and the encroacher cannot try again for at least an hour.

Tags may be stuck onto a weapon or appendage to let a Normal or Fighting-Type Attack hit a Ghost-Type Pokémon for neutral Damage; Tag is destroyed once damage is dealt.

Novice Occult Ed: Can burn tag as a Standard Action to remove Cursed, Suppressed, or Disabled condition from a single target within 5m.
Expert Occult Ed: Can burn tag to cause all with Invisibility and Phasing capabilities to make a Focus check; if result does not exceed tag's power value, capabilities lost for 5 min",,
Poké Ball Cannon,4500,Increases Poké Ball and Pester Ball accuracy by +1 and range to 15 meters. Balls deal 2d6 unreducible damage upon hitting a target. Balls take a Shift Action to ready in the Poké Ball Cannon.,,
Hazmat Suit,3500,Acts as a Gas Mask but also grants the Hazard Immunity capability and immunity to non-damaging Poison Type Moves.,,
Spacesuit,8000,Grants Vacuum Immunity and Free Floating 4. Weighs 200 pounds and is thus difficult for most Trainers to use in normal gravity. A Robotic Age upgraded version costing an extra $2000 confers Hazard Immunity too and weighs only 100 pounds instead.,,
Thermal Goggles,1000,"Allows you to see in the IR spectrum, enabling you to easily pick out a person or Pokémon in camouflage or to identify sources of heat.",,
Handheld Propellor,3500,Increases Swim speed by +3.,,
Lifting Frame,3000,A mechanized frame worn over each arm with motorized muscles. Grants +2 to Power Capability. The frames are too unwieldy to use other equipment such as weapons while wearing them.,,
Extendable Grabby Arm,750,A dexterous and flexible arm with a hand at the end. Can be used to grab and manipulate objects from 3 meters away.,,
Thermal Dampening Suit,2000,The user is invisible to thermal imaging gear.,,
Treecko Gear,3500,Grants the Wallclimber capability.,,
Pheromone Emitter,2000,Emits pheromones as a Swift Action that give a +4 bonus to a Charm or Intimidate check against wild Pokémon. Requires a Pheromone Cartridge to use. Comes with 1 Cartridge. More can be bought for 250 apiece.,,
Pheromone Cartridge,250,A cartridge for the Pheromone Emitter.,,
Sonic Filter,2500,"Creates a portable field of directed white noise with a 2 meter radius when activated. Anyone within can hold a conversation normally, but anyone outside the field just hears static coming from the direction of the wearer. Moves with the Sonic Keyword aimed at a target within the field require 2 more on Accuracy Roll to hit.",,
Mind Aegis,4000,"Grants a +6 bonus to Focus checks to resist Telepathy. If the wearer has the Iron Mind Edge, Mind Aegis grants the Mindlock capability instead.",,
Scrubbing Spray,3500,"Sprays a chemical agent over an area that destroys most forensic evidence, such as trace biomatter. Perception checks to track someone or to search for forensic evidence take a -6 penalty. Requires a Scrub Cartridge to use. Comes with 1 Cartridge. More can be bought for 300 apiece.",,
Scrub Cartridge,300,A cartridge for Scrubbing Spray.,,
Universal Translator,10000,You understand any spoken language recognized by the Universal Translator and can speak into it and have your words translated immediately. Usually programmed with all of the major human languages. Can be used to speak with Pokémon.,,
Gravity Modulation Suit,4000,You may treat the local gravity as if it were 1 lower or 1 higher. Changing the setting on the suit is an At-Will Extended Action requiring time for the suit to adjust to the new settings.,,
Pokéradar,5000,"Contrary to its name, this handheld device actually detects both human and Pokémon lifesigns in a 20 meter radius and can display their relative location to you on a screen. No information is given about specific species.",,
X-Ray Goggles,8000,Grants the user the X-Ray Vision Capability.,,
Dimensional Field Analyzer,5000,A handheld device the size of a Geiger counter for campaigns featuring time travel or interdimensional travel of some other sort. This device can be calibrated to recognize a ‘home’ universe or timeline and can measure the amount of difference between a parallel universe and that home universe.,,
Anomaly Detector,2150,"When pointed at a person, Pokémon, or object, this handheld device can determine whether or not it belongs to this timeline or parallel universe. It gives no indication to the nature of the home universe, however.",,
Glitch Detection Crystal,800,A crystal necklace which begins to display pixelated effects and static when near Glitch phenomena. Pixellation and static effects intensify proportionally to proximity to the phenomena.,,
EMP Grenade,800,Throwing an EMP Grenade is an AC 5 Ranged Blast 3 attack that can be made at a target within your Poké Ball throwing range. All legal targets with Augmentations immediately suffer the effects of Augmentation Shock. EMP Grenades flinch targets with Augmentations on a roll of 18+ on Accuracy Check. EMP Grenades disable Pokébots for 1d2 turns.,,
Flashbang,250,"Throwing a Flashbang uses the Move Flash originating from the point where you threw the Flashbang, up to your maximum Poké Ball throwing range. When used in this way, Flash flinches all legal targets on 19-20 on Accuracy Check.",,
Sting Grenade,250,"Throwing a Sting Grenade is an AC 4 Ranged Blast 3 attack that can be made at a target within your Poké Ball throwing range. Upon connecting, the Sting Grenade releases dozens of hard rubber balls around it, causing pain to the targets but no damage. Those targets take a -3 penalty to all rolls and to their evasion until the start of your next turn.",,
Zap Blaster,1000,Uses the Move Zap Cannon once.,,
Inferno Cannon,1000,Uses the Move Inferno once.,,
Ablative Heavy Armor,14500,"A weighty but brittle armor that is self-repairing. Grants 20 Damage Reduction, but each damaging attack removes 5 Damage Reduction from the armor. Every five minutes, the armor repairs 5 Damage Reduction. The user’s Speed Combat Stage defaults to -1.",,
Flame Retardant Armor,5000,You gain 10 Damage Reduction against Fire Type damage.,,
Mesh Shielding,8000,"An advanced anti-conductive fabric woven into a stiff jacket designed to shield sensitive electronics from damage and electrical shock. You gain 5 Damage Reduction against Electric Type damage. Whenever you would suffer Augmentation Shock, roll 1d2. On a 1, you suffer no ill effects.",,
Reinforced Trenchcoat,10000,A stylish utility version of Light Armor. Grants 5 Damage Reduction and provides a +4 bonus to Stealth checks to conceal weapons and prevents their detection by metal detectors.,,
Sensor Disruption Vest,2000,The specially designed material of this vest wreaks havoc with the sensors used on most Pokébot models and Eye Augmentations. Pokébots and any Trainers or Pokémon with an Eye Augmentation suffer a -2 penalty to their single target Accuracy Checks made against the wearer.,,
Slipstream Armor,10000,"A flexible and smooth light armor that can momentarily become nearly frictionless. Grants 5 Damage Reduction. Once a battle, the wearer may use a Swift Action to escape from being Stuck.",,
Cap Cannon [5-15 Playtest],5000,"Capsule Cannons - or Cap Cannons for short - are two-handed pieces of Equipment which can be loaded with different types of Capsules (Caps) and fired. They can be fired as a Standard Action, and the range and effect of the Cannon depends on the Cap used. A Cap Cannon may have up to five Caps loaded in it at once, and they do not have to be fired in any particular order. You may load up to two Caps into a Cannon as a Standard Action. There are three types of Caps: Bean Caps, Glue Caps, and Net Caps. In addition to Caps, Capsule Cannons can also be loaded with Smoke Bombs, Pester Balls, and Poke Balls. When fired this way, these items behave normally but have a Range of 10 meters.",,
Bean Cap [5-15 Playtest],50,"AC: (6 minus Tech Edu Rank, Min 2)
Range: 10 meters
Effect: The target takes 20 Physical, Normal-Type Damage. On 18+, the target is Tripped and loses a Tick of Hit Points.",5000,"Capsule Cannons - or Cap Cannons for short - are two-handed pieces of Equipment which can be loaded with different types of Capsules (Caps) and fired. They can be fired as a Standard Action, and the range and effect of the Cannon depends on the Cap used. A Cap Cannon may have up to five Caps loaded in it at once, and they do not have to be fired in any particular order. You may load up to two Caps into a Cannon as a Standard Action. There are three types of Caps: Bean Caps, Glue Caps, and Net Caps. In addition to Caps, Capsule Cannons can also be loaded with Smoke Bombs, Pester Balls, and Poke Balls. When fired this way, these items behave normally but have a Range of 10 meters."
Glue Cap [5-15 Playtest],100,"AC: (8 minus Tech Edu Rank, Min 2)
Range: 8 meters
Effect: Cause the target to become Slowed, and their Initiative is lowered by 5. On 18+, the target is also Stuck and Trapped.",50,"AC: (6 minus Tech Edu Rank, Min 2)
Range: 10 meters
Effect: The target takes 20 Physical, Normal-Type Damage. On 18+, the target is Tripped and loses a Tick of Hit Points."
Net Cap [5-15 Playtest],200,"AC: (10 minus Tech Edu Rank)
Range: 6 Meters
Effect: Targets hit by a Net Cap gain all the effects below while the net remains on them. Targets may attempt to remove the Net as a Standard Action; if they do, they make a Save Check with a DC of 15, adding their Power Capability as a bonus to their Roll. Targets may automatically remove the Net as an Extended Action.

» If the target is a Wild Pokémon, Capture Rate is increased by +20
» If the target is Large Size or smaller, they take a -3 penalty to Accuracy Rolls
» If the target is Medium Size or smaller, they are Slowed and Vulnerable
» Sky and Levitate Speeds cannot be used; the target is forced to lower themselves to the ground (without taking fall damage).",100,"AC: (8 minus Tech Edu Rank, Min 2)
Range: 8 meters
Effect: Cause the target to become Slowed, and their Initiative is lowered by 5. On 18+, the target is also Stuck and Trapped."
